quarter,EPS (Adj) (Unit Curr.),Net Sales,PATM(%),PBIDT,PBIDTM(%),Reported Profit After Tax,company
2016Q1,0.0,2212.71,2.96,154.58,6.99,65.56,AVENUE
2016Q2,0.0,2652.39,4.47,239.66,9.04,118.45,AVENUE
2016Q3,0.0,2778.73,4.16,240.89,8.67,115.65,AVENUE
2016Q4,0.0,3339.36,4.55,296.79,8.89,151.88,AVENUE
2017Q1,1.69,3110.64,3.11,217.6,7.0,96.67,AVENUE
2017Q2,2.8,3598.12,4.86,326.05,9.06,174.77,AVENUE
2017Q3,3.06,3506.92,5.45,339.14,9.67,191.04,AVENUE
2017Q4,4.03,4093.89,6.15,435.4,10.64,251.77,AVENUE
2018Q1,2.68,3809.96,4.39,309.38,8.12,167.1,AVENUE
2018Q2,4.02,4559.42,5.5,436.93,9.58,250.61,AVENUE
2018Q3,3.62,4872.52,4.63,403.5,8.28,225.74,AVENUE
2018Q4,4.12,5450.94,4.72,461.97,8.48,257.11,AVENUE
2019Q1,3.25,5033.37,4.03,391.19,7.77,202.89,AVENUE
2019Q2,5.37,5780.53,5.8,607.88,10.52,335.31,AVENUE
2019Q3,5.34,5949.01,5.61,524.26,8.81,333.45,AVENUE
2019Q4,6.3,6751.94,5.84,600.06,8.89,394.26,AVENUE
2020Q1,4.49,6193.53,4.63,453.26,7.32,286.87,AVENUE
2020Q2,0.77,3833.23,1.29,160.2,4.18,49.56,AVENUE
2020Q3,3.25,5218.15,4.03,380.7,7.3,210.55,AVENUE
2020Q4,7.26,7432.69,6.33,740.57,9.96,470.25,AVENUE
2021Q1,6.71,7303.13,5.96,669.16,9.16,434.95,AVENUE
2021Q2,1.78,5031.75,2.29,257.43,5.12,115.13,AVENUE
2021Q3,6.93,7649.64,5.87,703.14,9.19,448.9,AVENUE
2021Q4,9.04,9065.02,6.46,900.5,9.93,585.79,AVENUE
2022Q1,7.2,8606.09,5.42,781.32,9.08,466.35,AVENUE
2022Q2,10.49,9806.89,6.93,1044.8,10.65,679.64,AVENUE
2022Q3,11.28,10384.66,7.03,938.63,9.04,730.48,AVENUE
2022Q4,9.9,11304.58,5.67,1014.96,8.98,641.07,AVENUE
2023Q1,7.8,10337.12,4.89,824.09,7.97,505.21,AVENUE
2023Q2,10.71,11584.44,6.0,1083.25,9.35,695.36,AVENUE
2023Q3,10.12,12307.72,5.35,1047.4,8.51,658.54,AVENUE
2023Q4,11.32,13247.33,5.56,1165.37,8.8,736.82,AVENUE
2024Q1,9.28,12393.46,4.88,992.42,8.01,604.2,AVENUE
2024Q2,12.49,13711.87,5.93,1272.99,9.28,812.45,AVENUE
2024Q3,10.92,14050.32,5.06,1151.56,8.2,710.37,AVENUE
2024Q4,12.06,15565.23,5.04,1271.66,8.17,784.65,AVENUE
2025Q1,9.52,14462.39,4.28,1020.54,7.06,619.71,AVENUE
2025Q2,12.75,15932.12,5.21,1347.45,8.46,829.73,AVENUE
2025Q3,11.47,16218.79,4.6,1262.88,7.79,746.55,AVENUE
2025Q4,14.19,17612.62,5.24,1511.04,8.58,923.05,AVENUE
2015Q4,3.49,625.09,7.17,87.14,13.94,44.82,BATA
2016Q1,2.2,543.99,5.19,66.39,12.2,28.23,BATA
2016Q2,3.93,663.13,7.62,93.12,14.04,50.5,BATA
2016Q3,2.69,577.95,5.98,67.59,11.69,34.59,BATA
2016Q4,2.93,634.66,5.94,73.02,11.51,37.71,BATA
2017Q1,2.8,591.43,6.08,68.89,11.65,35.94,BATA
2017Q2,4.7,736.06,8.21,107.13,14.55,60.43,BATA
2017Q3,3.34,586.9,7.31,79.28,13.51,42.89,BATA
2017Q4,5.3,674.0,10.11,122.21,18.13,68.17,BATA
2018Q1,4.05,632.31,8.24,96.01,15.18,52.08,BATA
2018Q2,6.42,797.28,10.35,143.8,18.04,82.55,BATA
2018Q3,4.33,673.07,8.27,102.24,15.19,55.66,BATA
2018Q4,8.03,778.7,13.25,177.37,22.78,103.18,BATA
2019Q1,6.87,679.39,12.99,122.43,18.02,88.27,BATA
2019Q2,7.84,882.14,11.42,259.9,29.46,100.73,BATA
2019Q3,5.55,721.96,9.89,203.1,28.13,71.37,BATA
2019Q4,9.12,829.64,14.13,279.65,33.71,117.2,BATA
2020Q1,2.93,619.7,6.07,155.93,25.16,37.61,BATA
2020Q2,-7.87,134.79,-75.03,-34.09,-25.29,-101.13,BATA
2020Q3,-3.45,367.87,-12.07,32.49,8.83,-44.39,BATA
2020Q4,2.01,614.74,4.2,125.73,20.45,25.8,BATA
2021Q1,2.29,589.91,4.99,126.45,21.44,29.44,BATA
2021Q2,-5.55,267.05,-26.71,-21.83,-8.17,-71.32,BATA
2021Q3,2.88,614.12,6.03,130.56,21.26,37.05,BATA
2021Q4,5.63,841.3,8.6,182.16,21.65,72.36,BATA
2022Q1,4.89,665.25,9.44,180.7,27.16,62.8,BATA
2022Q2,9.29,943.02,12.66,253.9,26.92,119.34,BATA
2022Q3,3.98,829.76,6.16,168.88,20.35,51.11,BATA
2022Q4,6.47,900.21,9.23,213.59,23.73,83.11,BATA
2023Q1,5.1,778.59,8.42,191.86,24.64,65.56,BATA
2023Q2,8.39,958.15,11.26,253.57,26.46,107.84,BATA
2023Q3,2.68,819.12,4.21,156.53,19.11,34.49,BATA
2023Q4,4.46,903.47,6.34,192.55,21.31,57.31,BATA
2024Q1,4.69,797.67,7.56,201.39,25.25,60.29,BATA
2024Q2,13.57,944.63,18.46,335.29,35.49,174.37,BATA
2024Q3,4.07,837.14,6.25,192.11,22.95,52.36,BATA
2024Q4,4.53,918.48,6.33,197.99,21.56,58.17,BATA
2025Q1,3.39,787.77,5.53,197.98,25.13,43.55,BATA
2025Q2,4.02,941.84,5.49,210.67,22.37,51.7,BATA
2025Q3,1.07,801.33,1.72,157.9,19.7,13.76,BATA
2015Q4,0.53,708.01,1.42,34.09,4.81,10.08,BLUE STAR
2016Q1,0.89,1103.14,1.54,44.93,4.07,17.01,BLUE STAR
2016Q2,2.78,1165.18,4.55,86.89,7.46,52.98,BLUE STAR
2016Q3,0.89,825.49,2.06,44.44,5.38,16.97,BLUE STAR
2016Q4,0.5,828.9,1.14,31.47,3.8,9.45,BLUE STAR
2017Q1,1.71,1290.03,2.52,71.06,5.51,32.57,BLUE STAR
2017Q2,3.2,1431.99,4.27,103.53,7.23,61.21,BLUE STAR
2017Q3,1.05,780.44,2.57,48.18,6.17,20.04,BLUE STAR
2017Q4,1.33,846.11,3.0,52.78,6.24,25.39,BLUE STAR
2018Q1,1.34,1244.47,2.05,59.85,4.81,25.57,BLUE STAR
2018Q2,4.47,1382.93,6.2,143.82,10.4,85.81,BLUE STAR
2018Q3,0.75,922.84,1.56,48.12,5.21,14.4,BLUE STAR
2018Q4,-1.03,996.61,-1.99,10.31,1.03,-19.86,BLUE STAR
2019Q1,2.15,1481.32,2.8,91.7,6.19,41.44,BLUE STAR
2019Q2,3.86,1470.67,5.05,133.18,9.06,74.23,BLUE STAR
2019Q3,0.67,1056.23,1.21,50.74,4.8,12.79,BLUE STAR
2019Q4,0.03,1062.76,0.06,34.81,3.28,0.59,BLUE STAR
2020Q1,1.73,1196.83,2.78,65.65,5.49,33.26,BLUE STAR
2020Q2,-1.59,526.2,-5.8,-5.17,-0.98,-30.52,BLUE STAR
2020Q3,0.4,803.77,0.94,50.26,6.25,7.58,BLUE STAR
2020Q4,1.23,1020.71,2.31,74.09,7.26,23.58,BLUE STAR
2021Q1,3.39,1491.55,4.38,135.38,9.08,65.26,BLUE STAR
2021Q2,0.48,954.34,0.96,44.8,4.69,9.16,BLUE STAR
2021Q3,1.1,1094.4,1.93,64.23,5.87,21.16,BLUE STAR
2021Q4,1.98,1328.13,2.86,91.2,6.87,38.05,BLUE STAR
2022Q1,3.08,2006.75,2.96,127.42,6.35,59.37,BLUE STAR
2022Q2,3.5,1854.61,3.63,125.55,6.77,67.31,BLUE STAR
2022Q3,1.57,1417.19,2.13,78.33,5.53,30.12,BLUE STAR
2022Q4,2.71,1654.56,3.15,100.72,6.09,52.09,BLUE STAR
2023Q1,11.27,2426.77,8.94,338.52,13.95,217.06,BLUE STAR
2023Q2,4.0,2080.64,3.7,136.77,6.57,77.07,BLUE STAR
2023Q3,3.62,1740.86,4.03,127.27,7.31,70.22,BLUE STAR
2023Q4,3.73,2054.86,3.73,131.91,6.42,76.69,BLUE STAR
2024Q1,6.98,3122.52,4.6,227.07,7.27,143.52,BLUE STAR
2024Q2,7.1,2713.53,5.38,226.38,8.34,146.06,BLUE STAR
2024Q3,4.12,2126.0,3.98,142.8,6.72,84.66,BLUE STAR
2024Q4,4.71,2681.52,3.61,171.96,6.41,96.91,BLUE STAR
2025Q1,7.65,3804.7,4.13,256.1,6.73,157.27,BLUE STAR
2025Q2,5.28,2846.63,3.81,190.43,6.69,108.56,BLUE STAR
2025Q3,3.4,2294.52,3.05,146.47,6.38,69.91,BLUE STAR
2015Q4,8.2,1968.59,9.99,321.22,16.32,196.72,BRITANNIA
2016Q1,8.0,1935.67,9.91,301.63,15.58,191.86,BRITANNIA
2016Q2,8.77,1949.36,10.79,336.13,17.24,210.39,BRITANNIA
2016Q3,9.49,2200.87,10.34,363.16,16.5,227.57,BRITANNIA
2016Q4,8.81,2093.17,10.1,332.96,15.91,211.49,BRITANNIA
2017Q1,8.2,2067.01,9.52,318.69,15.42,196.73,BRITANNIA
2017Q2,8.7,2077.15,10.05,346.79,16.7,208.69,BRITANNIA
2017Q3,10.22,2373.42,10.34,402.39,16.95,245.34,BRITANNIA
2017Q4,10.38,2398.32,10.39,407.35,16.98,249.17,BRITANNIA
2018Q1,5.1,2357.04,10.38,409.87,17.39,244.69,BRITANNIA
2018Q2,5.13,2386.89,10.32,406.27,17.02,246.24,BRITANNIA
2018Q3,5.9,2685.94,10.56,464.19,17.28,283.57,BRITANNIA
2018Q4,12.6,2685.37,11.27,501.67,18.68,302.7,BRITANNIA
2019Q1,12.05,2631.29,11.01,480.52,18.26,289.69,BRITANNIA
2019Q2,10.41,2554.16,9.8,437.74,17.14,250.21,BRITANNIA
2019Q3,20.5,2867.31,17.18,635.55,22.17,492.58,BRITANNIA
2019Q4,14.99,2769.31,13.01,546.35,19.73,360.35,BRITANNIA
2020Q1,15.85,2629.79,14.49,505.48,19.22,381.16,BRITANNIA
2020Q2,21.45,3179.61,16.22,759.09,23.87,515.87,BRITANNIA
2020Q3,19.21,3161.44,14.62,692.1,21.89,462.31,BRITANNIA
2020Q4,17.79,2916.1,14.69,648.49,22.24,428.39,BRITANNIA
2021Q1,14.67,2856.5,12.37,544.34,19.06,353.46,BRITANNIA
2021Q2,19.34,3182.37,14.64,675.71,21.23,465.88,BRITANNIA
2021Q3,15.25,3369.53,10.9,581.92,17.27,367.31,BRITANNIA
2021Q4,14.8,3327.42,10.72,565.88,17.01,356.57,BRITANNIA
2022Q1,17.16,3289.72,12.57,625.08,19.0,413.43,BRITANNIA
2022Q2,13.35,3470.37,9.27,523.01,15.07,321.66,BRITANNIA
2022Q3,20.45,4144.65,11.88,753.21,18.17,492.55,BRITANNIA
2022Q4,31.84,3911.4,19.61,1065.98,27.25,766.93,BRITANNIA
2023Q1,23.17,3758.7,14.85,847.92,22.56,558.16,BRITANNIA
2023Q2,18.39,3824.27,11.59,718.79,18.8,443.05,BRITANNIA
2023Q3,23.68,4220.26,13.52,894.12,21.19,570.49,BRITANNIA
2023Q4,22.35,4031.41,13.35,839.57,20.83,538.36,BRITANNIA
2024Q1,22.01,3862.93,13.72,825.55,21.37,530.15,BRITANNIA
2024Q2,20.84,3967.38,12.66,770.94,19.43,502.08,BRITANNIA
2024Q3,21.36,4391.88,11.71,798.06,18.17,514.41,BRITANNIA
